id;sales_order_number;customer_id;placed;cancelled;shipped;completed;status
1;withdrawal turn-key Multi-layered;compressing Brazil application;2020-11-22T12:47:03;2020-11-22T01:37:09;2020-11-22T21:38:34;2020-11-22T06:26:47;CANCELLED
2;Agent;Avon index Philippine Peso;2020-11-22T12:39:10;2020-11-22T16:24:31;2020-11-21T22:56:54;2020-11-22T11:07:41;CANCELLED
3;Lithuania archive payment;orchid bi-directional;2020-11-22T07:21:19;2020-11-22T17:36:29;2020-11-22T11:30:43;2020-11-21T23:53:07;PENDING
4;firewall card;Industrial XSS Money Market Account;2020-11-22T06:09:29;2020-11-22T07:16:31;2020-11-22T17:18:31;2020-11-21T23:17:53;CANCELLED
5;fuchsia;HDD Fantastic Rubber Chair Analyst;2020-11-22T07:07:24;2020-11-22T10:14:52;2020-11-22T04:53:55;2020-11-22T03:11:37;COMPLETED
6;Barbados FTP;tan override;2020-11-22T21:26:12;2020-11-22T18:51:38;2020-11-22T13:49:37;2020-11-22T13:14:50;CANCELLED
7;Massachusetts;transform Refined Metal Sausages;2020-11-22T00:03:49;2020-11-22T21:01:04;2020-11-22T21:38:18;2020-11-22T11:41:02;SHIPPED
8;redundant;withdrawal TCP;2020-11-22T18:47:12;2020-11-22T19:33:14;2020-11-21T22:35:35;2020-11-22T17:00:41;COMPLETED
9;invoice;Illinois;2020-11-22T05:07:49;2020-11-22T13:06:38;2020-11-22T06:27:39;2020-11-21T23:57:21;PENDING
10;Berkshire Total deploy;Optimization;2020-11-22T04:12:43;2020-11-22T21:30:57;2020-11-22T21:10:40;2020-11-22T15:23:06;PENDING
